[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor48] /!\ [Actor48] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor50] /!\ [Actor50] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-18] [akka://system/user/Actor56] /!\ [Actor56] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor58] /!\ [Actor58] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor61] /!\ [Actor61] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor64] /!\ [Actor64] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-18] [akka://system/user/Actor65] /!\ [Actor65] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor67] /!\ [Actor67] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-30] [akka://system/user/Actor69] /!\ [Actor69] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor72] /!\ [Actor72] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-18] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor78] /!\ [Actor78] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor79] /!\ [Actor79] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor82] /!\ [Actor82] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor84] /!\ [Actor84] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor88] /!\ [Actor88] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor90] /!\ [Actor90] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor94] /!\ [Actor94] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor97] /!\ [Actor97] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-18] [akka://system/user/Actor96] /!\ [Actor96] received DECIDE from [Actor27], proposal [0]
